id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2824069142,20150409T000000,510000.0,3,2.0,1420,11325,1.0,0,0,3,7,1420.0,0,1980,0,98027,47.5356,-122.046,2330,3474
9828701605,20141002T000000,585000.0,3,2.5,1740,2350,2.0,0,0,3,8,1130.0,610,1995,0,98112,47.6207,-122.297,1740,3201
428100580,20140716T000000,350000.0,3,1.75,1970,10800,1.0,0,0,4,7,1300.0,670,1979,0,98056,47.5107,-122.172,1970,8768
121039038,20140819T000000,169000.0,3,1.5,1470,18459,2.0,0,0,4,6,1470.0,0,1916,0,98023,47.3302,-122.36,1750,16074
3526059115,20150421T000000,515000.0,5,3.0,2670,11761,1.0,0,0,3,7,1370.0,1300,1981,0,98052,47.6895,-122.129,2580,10703
6071200375,20141211T000000,466000.0,3,1.75,1680,9460,1.0,0,0,4,7,1680.0,0,1959,0,98006,47.5525,-122.182,1690,9448
2770601763,20150323T000000,450000.0,3,3.5,1790,1288,3.0,0,0,3,8,1390.0,400,2000,0,98199,47.651,-122.384,1560,1426
1790000080,20150203T000000,321027.0,4,2.25,2820,16770,1.0,0,0,4,8,1920.0,900,1966,0,98023,47.3186,-122.364,2320,13850
8682261010,20140910T000000,473000.0,2,1.75,1510,4555,1.0,0,0,3,8,1510.0,0,2005,0,98053,47.7136,-122.031,1640,4500
7660600131,20141020T000000,374950.0,2,2.25,1240,1172,2.0,0,0,3,8,1000.0,240,2008,0,98144,47.5877,-122.316,1260,1111
7202350060,20140908T000000,475000.0,3,2.5,1690,2890,2.0,0,0,3,7,1690.0,0,2004,0,98053,47.6802,-122.031,1690,2730
1761300110,20140702T000000,260000.0,4,2.0,1620,7992,2.0,0,0,4,7,1620.0,0,1975,0,98031,47.395,-122.176,1710,7500
2225079030,20141212T000000,180000.0,2,1.0,960,87991,1.5,0,0,3,5,960.0,0,1946,0,98014,47.63,-121.9,1940,392040
8946750020,20150507T000000,264000.0,3,2.25,1552,3677,2.0,0,0,3,7,1552.0,0,2012,0,98092,47.3205,-122.178,1677,3677
7732400490,20141105T000000,732350.0,4,2.5,2270,7665,2.0,0,0,3,9,2270.0,0,1986,0,98052,47.6612,-122.148,2450,8706
3905081500,20140604T000000,532000.0,3,2.5,1820,4910,2.0,0,0,3,8,1820.0,0,1993,0,98029,47.5703,-121.996,2090,6668
6056100295,20140530T000000,330000.0,2,2.5,1240,1546,2.0,0,0,3,7,1240.0,0,2007,0,98108,47.5634,-122.298,1520,2468
6813600365,20141009T000000,527950.0,4,1.75,1760,3600,1.0,0,0,5,7,880.0,880,1926,0,98103,47.6889,-122.33,1500,5580
726049331,20150326T000000,515000.0,5,3.0,2530,5105,1.0,0,0,3,8,1520.0,1010,2005,0,98133,47.7546,-122.341,2290,4011
1972202080,20140710T000000,725000.0,2,1.75,1950,2719,1.0,0,0,5,7,1010.0,940,1919,0,98103,47.6513,-122.346,1360,1256
4067600160,20150402T000000,902500.0,3,3.5,3240,23522,2.0,0,0,3,10,2130.0,1110,1992,0,98010,47.3388,-122.033,3180,23273
1118001360,20150218T000000,1475000.0,3,2.75,3910,7080,1.0,0,0,5,9,1970.0,1940,1949,0,98112,47.6324,-122.289,3480,7370
6073300790,20150105T000000,383000.0,3,1.5,1340,7725,1.0,0,0,4,8,1340.0,0,1967,0,98056,47.5389,-122.173,1990,7725
1473120190,20140530T000000,386000.0,3,2.0,2120,7560,1.0,0,0,3,9,2120.0,0,1991,0,98058,47.435,-122.16,2660,7700
1257201095,20150323T000000,826000.0,2,1.0,1060,6120,1.0,0,0,3,7,1060.0,0,1908,0,98103,47.6739,-122.329,1730,4080
2917200085,20150408T000000,350000.0,2,1.0,1160,5395,1.0,0,0,3,7,860.0,300,1940,0,98103,47.7007,-122.354,1664,5363
7010700550,20141114T000000,595000.0,3,2.5,2030,5100,2.0,0,0,3,7,2030.0,0,2008,0,98199,47.6594,-122.397,1790,4380
2767603160,20150225T000000,575000.0,2,1.0,1320,4750,1.5,0,0,4,7,1320.0,0,1928,0,98107,47.6729,-122.38,1360,2873
9558200025,20140730T000000,265000.0,3,2.0,1380,8536,2.0,0,0,4,7,1380.0,0,1955,0,98148,47.4374,-122.335,1260,8750
2331300505,20140613T000000,822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720.0,600,1926,0,98103,47.6763,-122.352,1700,4960
2424059052,20140710T000000,1325000.0,6,4.25,5720,10213,2.0,0,0,3,10,4170.0,1550,2004,0,98006,47.5464,-122.116,4300,10224
6365900065,20140718T000000,334850.0,2,1.0,870,5635,1.0,0,0,3,7,870.0,0,1948,0,98116,47.5676,-122.398,1310,5750
7338220200,20150408T000000,275000.0,4,2.5,2150,3721,2.0,0,0,3,8,2150.0,0,2007,0,98002,47.3363,-122.215,2150,3721
8937600080,20150126T000000,295000.0,3,1.75,1930,13350,1.0,0,0,3,8,1930.0,0,1967,0,98023,47.3317,-122.365,2270,13350
6163901380,20141114T000000,244000.0,2,1.0,960,8450,1.0,0,0,5,6,960.0,0,1950,0,98155,47.755,-122.316,1090,8450
3277801417,20140516T000000,341000.0,3,2.5,1480,1663,2.0,0,0,3,9,1180.0,300,2012,0,98126,47.5443,-122.375,1380,1537
9839300875,20140514T000000,800000.0,3,1.0,1700,4400,1.5,0,0,4,8,1700.0,0,1906,0,98122,47.612,-122.292,1610,4180
1822079046,20150504T000000,500000.0,3,2.0,3040,41072,1.0,0,0,4,8,1520.0,1520,1978,0,98038,47.3944,-121.972,2230,54014
